Operaciones_idOperaciones,Perro_idPerro,Fecha,Observaciones,Ultima_Mod
1,1,NULL,NULL,NULL
1,2,NULL,NULL,NULL
1,3,NULL,NULL,NULL
1,4,NULL,NULL,NULL
1,5,NULL,NULL,NULL
1,6,NULL,NULL,NULL
1,7,NULL,NULL,NULL
1,8,NULL,NULL,NULL
1,9,NULL,NULL,NULL
1,10,NULL,NULL,NULL
1,11,NULL,NULL,NULL
1,12,NULL,NULL,NULL
1,15,NULL,NULL,NULL
1,18,NULL,NULL,NULL
1,19,NULL,NULL,NULL
1,20,NULL,NULL,NULL
1,23,NULL,NULL,NULL
1,24,NULL,NULL,NULL
1,26,NULL,NULL,NULL
1,30,NULL,NULL,NULL
1,31,NULL,NULL,NULL
1,32,NULL,NULL,NULL
1,33,NULL,NULL,NULL
1,34,NULL,NULL,NULL
1,35,NULL,NULL,NULL
1,37,NULL,NULL,NULL
1,38,NULL,NULL,NULL
1,39,NULL,NULL,NULL
1,40,NULL,NULL,NULL
1,41,NULL,NULL,NULL
1,42,NULL,NULL,NULL
1,43,NULL,NULL,NULL
1,44,NULL,NULL,NULL
1,45,NULL,NULL,NULL
1,46,NULL,NULL,NULL
